Image,Annotated,DINOv2 Model,DINOv2 Layers,DINOv2 Scales,VGG16 Layers,VGG16 Scales,Accuracy,Execution Time
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),None,(),0.8133621215820312,2.457866907119751
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),[0],(),0.8094215393066406,11.005656242370605
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),[0],"[1.0, 1.32]",0.805450439453125,14.910199880599976
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),"[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]",(),0.9344329833984375,44.36932587623596
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),"[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]","[1.0, 1.32]",0.9317283630371094,350.6914653778076
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),None,(),0.9634513854980469,8.52121615409851
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),[0],(),0.9637641906738281,8.272159099578857
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),[0],"[1.0, 1.32]",0.9593276977539062,9.69347071647644
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),"[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]",(),0.9684791564941406,45.10958933830261
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),"[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]","[1.0, 1.32]",0.9710350036621094,328.79742431640625
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"[1.0, 1.32]",None,(),0.9666481018066406,15.847447395324707
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"[1.0, 1.32]",[0],(),0.962646484375,17.890944242477417
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"[1.0, 1.32]",[0],"[1.0, 1.32]",0.9637184143066406,18.498199224472046
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"[1.0, 1.32]","[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]",(),0.9727592468261719,53.24922966957092
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"[1.0, 1.32]","[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]","[1.0, 1.32]",0.9717483520507812,390.0379376411438
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),None,(),0.9663581848144531,10.94240927696228
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),[0],(),0.9631538391113281,14.90048885345459
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),[0],"[1.0, 1.32]",0.9627571105957031,16.464325666427612
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),"[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]",(),0.9667205810546875,85.99670934677124
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),"[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]","[1.0, 1.32]",0.9693450927734375,387.21309661865234
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","[1.0, 1.32]",None,(),0.9656448364257812,57.393534898757935
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","[1.0, 1.32]",[0],(),0.9675636291503906,47.91199326515198
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","[1.0, 1.32]",[0],"[1.0, 1.32]",0.9712867736816406,47.71761894226074
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","[1.0, 1.32]","[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]",(),0.9705123901367188,127.5083544254303
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","[1.0, 1.32]","[0, 2, 5, 7, 10, 12, 14, 17, 19, 21, 24, 26, 28]","[1.0, 1.32]",0.9690513610839844,543.451922416687
